"","sample","batch","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50"
"11","S13",1,794.485969099188,1899.94908852976,636.918813041352,1646.68446331773,2829.80137951281,6075.63942479538,2377.49817153182,3177.66612887508,4093.73131006024,9144.28321131773,1867.08334914819,3025.88774533567,5392.55452427907,2739.82762309092,11498.5744723496,2482.74041556443,2082.07962935512,1471.32778455502,25183.9822866953,2012.31452504829,5969.06873328343,2803.29852050205,2687.09619366712,2171.25308116329,1082.62273945909,2616.57955441053,2399.79327349276,8763.66691975654,3827.96004393541,2675.62794575944,1693.6110452397,2830.0951391963,3808.83940407587,2270.26303247319,4312.65554948616,5834.3238058858,6887.129316667,4163.90390531569,1981.01811111353,3924.40286823373,4350.51789504073,1063.3547786554,6166.93345770336,3019.94695655424,13283.710067308,2964.54419243859,30723.6530183803,2075.29412444151,8356.2432494812,5838.328533178
"12","S14",1,867.286191060856,2556.02466964324,990.369828698377,1905.76443198962,3388.71375525799,5685.9861355834,2390.3333800306,7112.32341222755,6167.81688876146,6196.73908941782,1876.8020628759,2420.44418761299,6352.27796251086,3294.46273383156,13514.7762685353,2255.71727166501,2180.67112995418,1579.47671474175,35042.0096755562,1958.31648480052,6866.09360352556,2077.29453636109,3065.69565997471,3542.97191822986,3132.21735767689,2427.5090918257,2713.30858689292,8076.16536977911,4940.0097294581,2942.27415437393,2268.41092269979,3659.16489956082,5651.88664915592,3430.3630871816,7732.73600829755,7628.70051012962,4015.64832262859,4854.91400952915,1930.19798211258,3545.02465243977,8805.36449180914,1483.74123579978,9191.86486856241,3417.64102924328,15189.4337089713,4590.26029640556,39856.8106565137,3652.29501091376,7604.00500725258,8278.79999926917
"13","S15",1,844.891947153339,2565.37580639373,591.939438408308,1740.10734304721,3212.61146418274,4676.76341737351,2118.97526496047,4205.30197623143,6726.58518779413,8789.90699227997,2485.00123501545,2403.4718463444,7679.41279595715,2154.77570094895,5465.17198284628,3046.44545083737,2233.05567444629,2104.81123464307,12581.1518428158,656.932021817758,6690.57909159433,3229.08215878888,4275.87947077758,2984.21874121746,1386.50869100822,971.16012850926,2744.57282073696,7319.03539557051,3330.77664576079,4413.23352146792,1875.58659190442,3682.88988980034,4075.72704941269,2962.73210812399,2812.03783198467,3598.53208454384,6599.23910240915,5706.57303735018,2398.43500670732,4379.6824749303,2243.74940032817,1370.84081889107,8828.22590937503,4126.64166011505,5993.19938072015,5436.67692965258,31458.412613402,1982.18527125232,9692.79784855746,7510.06523715626
"14","S16",1,856.7463574747,2507.38598188473,837.282644282374,1778.37975817839,4571.55661168842,4453.67877051749,2300.73387215573,6748.69512770406,7399.33951229576,8687.423913685,1644.91087343664,4156.36789881173,6910.73531200936,2171.04471599688,3562.20758328355,2231.33628743174,2351.51742391254,1742.36632839358,16058.0358151115,898.216098252483,4766.18313720843,2874.53215125324,4783.38034968989,3088.34814535631,2319.77928740521,1017.40941651292,3083.82795601648,8020.91783888825,3724.33940276506,2869.2308234886,1938.72172964484,3788.91019502472,5661.40768547168,3258.28583454873,9599.29165772761,3852.4073557758,4871.83889963632,3339.24642784018,1911.67555665248,4794.92030296971,8930.26177436695,1380.6003108414,6574.12717745423,2942.03020494873,6058.31719817604,4219.68479475681,28438.9507286312,2279.17090193284,11806.128234277,9258.38631251006
"15","S18",1,619.896593708486,1725.84612261149,1078.84097652472,1240.81226414866,2247.69344574307,5015.57804128422,2127.01265403931,3773.31799729604,4091.52372201055,5736.78972196105,1987.2363462655,3428.19589195485,4955.37668990564,1589.29520919806,2857.97851157336,1866.98104044564,1418.24284900281,1292.01448398307,10155.6196554307,811.04085886657,5316.78617993942,2841.81740646014,2348.07934319952,2878.66404239386,1487.22248508969,894.801973216978,2686.35145602158,5747.23478592543,2623.42953836053,2611.97293321727,1996.8024583022,3255.99114503443,3226.10684061424,2142.60501578041,7074.21266261961,2788.0687869203,3713.36471340092,3451.30195698528,1377.28373988561,2266.20186840187,5697.98307525692,1166.08694324516,5187.4663194419,3347.84867611915,4468.3990778548,3658.05311260367,36593.1270384444,1536.71371286368,7001.6565613388,5550.85014674429
"16","S19",1,868.2403392115,2178.75334494556,1134.70170074274,1543.47556599826,4626.72500990134,6284.53302892151,2094.80161685139,4290.44072619607,5054.73809985448,7396.36438332356,1578.5187559997,3383.14220974444,6121.80007075264,2439.8694924195,7577.81781935618,2103.16649757463,1567.77400259875,1797.42902262365,13490.6897554988,907.688968125356,6018.5741569868,3272.5830526363,4033.95927731786,2489.26279376042,6824.30545742453,1329.55549675235,2548.52521675856,8945.91898006627,3274.43036009947,3322.50321806043,2822.85997691612,3446.64248899425,3535.95027291388,3975.40401031917,11413.2251819107,5067.37238753606,5077.94859805193,2937.66547753546,2380.3700818591,4217.54208286712,11379.6183921408,1597.88548993657,8585.3898549498,4593.26692035011,6911.1814621232,2858.92985976338,56274.7507976989,2564.92229352798,7676.19414885014,6343.38220024464
"17","S20",1,776.093630314564,1928.32192060874,668.561715959466,1391.20472788388,3666.07779513494,5242.88361406408,2417.27657947083,4554.63079825224,6898.32144194278,6882.30969051074,1193.21592082193,2844.20907293671,5904.77342398694,2561.93560668936,5051.02267305849,2105.81816014605,1789.7351830189,2232.8243504873,13183.5590582738,804.470975982052,4325.31080211682,3227.95607998199,3709.0495675627,2591.06499549597,1576.48569225526,1117.31180119192,2361.91076559755,7582.12839676196,3666.04115254662,3442.60712691842,2132.26264308226,4440.48623330186,3612.55238624321,2038.75483249112,5704.92576365267,3390.85435267324,4156.92551243924,3526.32879579534,2571.05421244973,4407.3224809593,6187.54934126029,976.061307441235,4698.57666699569,3197.1649432591,7321.93991043362,4280.76104870669,36132.3425180335,1972.96606909931,8594.65516591861,6437.25412028949
"18","S21",1,624.404708147506,1923.90589957416,1477.27386028825,1506.69210884866,3497.30515969445,4275.10436646408,1774.56231313394,4345.10363805819,6160.19941404767,7278.82764186267,1622.21120589448,2799.24951399647,4937.53306633768,1825.31825689854,7498.34139837264,2126.76417440437,1797.41169361567,2072.38807067975,21653.9884800088,1528.9200839195,6409.74259459432,2934.4194163894,2529.32671226811,2707.64203765474,2819.97769979258,2480.20690875847,2456.34986922351,8586.95397373309,3359.40167813155,3977.46795571156,2438.64358173936,2625.25280715835,5145.9068543871,2690.83862028782,7637.5055158579,7117.24315629443,4268.42215698309,4124.4879907085,2116.61021106009,3580.23578501181,12155.8420213767,1386.53038199377,7460.66169281552,3336.80692190346,10996.0888441441,3286.29294390513,26679.4966237554,2409.32094250755,8623.85220468723,3700.61977618441
"19","S22",1,574.735484905513,1851.4652251865,964.346020467636,1770.76294266967,3091.07205687291,3691.51292791681,2704.30176110328,4595.10641723368,4418.56961026594,7804.34111311337,1939.72970684826,2987.79244699543,5519.97082226572,1952.61476665511,4345.73486697755,2394.94718167836,1259.91246062404,1369.61599295903,10882.7081084848,732.535982468615,4940.04778677821,3501.69189043536,3956.95926501988,2206.50046468825,2004.31899537436,876.124170558285,2263.20636347482,7787.2732402818,2825.10367368284,2885.67198085564,1912.56058325496,3136.91154552901,3221.07392711771,2231.11981782784,10164.6318510605,3581.04118806611,3922.71071588633,3517.00485144256,1276.00138324326,3886.23000670589,9641.2830127528,1303.14671120554,7788.02849056133,2423.83453690044,6356.37643172579,3454.07061097858,39107.9359135547,2560.67086359959,6812.3389888452,6220.15462744731
"20","S23",1,664.943745975578,2525.81608665343,1215.99363295658,1420.91356541401,3257.50800033302,5740.87905144763,2320.12873254954,3877.70422677457,6952.69136683306,6626.19252547585,1777.12932197241,4224.01818118774,6931.36463207225,2834.99940259661,3172.9987558948,3110.31369239474,1481.01492769459,1562.9907309277,10669.0156773448,857.232694087711,6624.45088691281,3004.17312896636,5231.44343501109,1896.36237496762,2760.18110864543,916.330653806729,3011.7336277677,8230.18064554326,4241.09611888342,2909.94084737503,1626.42420986955,3581.41704921442,3500.94535168583,2476.07394633941,9429.77241986986,3721.51080974882,4980.41572384088,4412.90450064563,1537.16500105242,5268.15999426112,8432.01088937192,1043.53399226588,10426.7347759577,4196.46868885713,5282.33369823758,4343.78065369529,42252.1954496606,2138.98831417467,10204.5912626552,6473.91137807898
"21","S24",1,692.052692273263,1620.47725731591,421.59133238903,1699.58536376513,2415.99717009104,6769.1458338807,2223.67613913931,4309.13946645374,6934.94161515242,6790.14160627894,1660.3607120161,2546.35960273116,4194.36177945153,2509.96883580022,7618.06225109625,2340.85678860647,1635.69748361475,1750.5446675169,19626.3200828299,2514.78265921647,5279.07227450906,2658.30284767804,2980.15697522965,2636.23685228621,598.325513324564,1855.81991734534,2774.19336184296,10756.9114500697,3123.55385444904,3371.42529159954,2009.28292317161,2668.22770391435,3770.93404009969,2656.54028810066,2057.44176953689,6423.70484477769,5041.5346324359,5194.5644513924,1728.71309357973,3953.13526687624,2860.13325765529,1193.09428847264,6777.70605037744,3102.93480779282,7935.87229825538,5306.24809230561,32438.5962181836,2065.90753310388,7968.55901882839,6863.82106334461
"22","S26",1,636.569483551918,1991.98503055341,1094.19012497326,2188.16575756791,3341.72145536385,5225.17066801539,2151.61567616001,3397.32479421986,6774.68745408005,9566.12678863698,2363.59565423417,2783.552498952,5537.41732296919,2871.96634086815,6379.84364186205,2121.44723403793,1856.45361976787,1806.33037981722,18913.5165180649,2220.08453757761,3826.33013510438,3136.3637462084,2917.54147232561,3085.87561744884,2412.43042407511,3093.12105575905,2316.06875590824,6572.50563397313,3729.37459845615,4304.39716900688,2358.16280282561,3015.90308581121,4441.52697147588,1743.84766499705,7988.35797933845,8799.38432759267,3863.5423055849,4918.23419593741,1495.58753229603,4660.89675305037,7787.86692511512,1487.38297597687,7096.68742239413,3418.46682678356,13179.8323132639,5414.87507026022,24614.8007707694,2246.30776823087,6398.72094023718,9116.88883461154
"23","S27",1,867.724354625567,2169.08997057099,1921.39572969151,1963.8470156087,2406.38814579384,5245.5199109759,1796.01938972715,4834.68090015973,4684.23453184647,8680.79595973556,1692.49286368392,2206.41968880963,4562.36339204141,2835.9620594178,9838.90803402952,2925.71117885434,1802.8293944563,1524.82708275664,33540.5428750265,2056.23091805482,6465.39146623104,3147.06279765929,3485.7499405427,2273.28074800123,5041.93635659886,2011.62252847265,2138.15060055324,5964.48041270279,4586.40778081416,2390.18285581251,2064.48165113238,3854.81845250089,3669.01001239129,2925.42364371952,15207.2884181452,5520.27736323102,5057.13215146403,3780.03705919149,2325.77461121982,3715.8594323105,17393.1530263662,1339.27026053719,7513.58646072758,3431.79067914313,6954.93497056727,3848.20119491084,32581.1056987688,2041.27865931513,6762.46002517087,7499.68514556545
"24","S28",1,714.027968851787,2295.25307777526,891.375367677242,1758.04333952524,3327.66162410074,5255.5309492884,2236.76724028322,5041.80316738575,5150.41144374295,9242.69640518343,1956.98266955898,3423.26848832955,5351.57846555061,2704.60359650115,9783.39657193472,2178.59393436333,1910.08975187507,1144.51102036585,21414.2435203807,1880.28673952569,5625.90874050714,2801.34696642084,3908.44865008724,1844.57294268343,1823.71136160951,3778.11750649197,3219.02899721551,10554.0628252832,4303.32019597126,3560.26484504387,1956.72002559754,3503.38358404501,3837.49990433351,2726.68240156826,6937.09917041668,10362.6960832886,5014.8233777544,4530.70441935545,2581.35345858516,3842.80234578195,10289.175124837,1100.55960739314,8769.38726393195,3839.65841998238,13880.5483405925,4711.79604694699,34551.940703695,2133.71013357671,10385.2220401315,8131.11219696808
"25","S29",1,1184.26342899232,1858.88684700658,2724.0960257529,1309.12855465306,3117.8236896315,7621.64350117283,2599.50176302967,5045.86647180247,6606.54905401595,8240.65153548006,2042.19157394032,3273.28719437749,7441.70608198493,3171.29839899113,9335.03518187149,2930.84316936883,2132.52052811306,1500.03244888668,32703.2744258641,1925.36707878018,5705.69622541065,2572.08518539726,3945.86893941519,3455.17629602554,3279.09038882028,3643.04278671458,3589.5735578702,9213.50877140667,4201.31239262862,3674.032762588,2447.77651189622,3609.14579315903,3615.49208069396,3261.61712138285,22518.5840804772,6696.45426779184,4881.60223900552,5839.2802924061,1813.61762694155,4541.73728897802,17596.757976414,1663.53435848777,6427.40336127995,3387.1363740519,12145.1183163593,4686.65921870973,32074.3271819676,2179.44468824863,9537.78493226807,6795.82617611756
"26","S30",1,707.895094422474,2747.39631048419,1472.11792911816,1358.52894561196,3174.20476193278,5208.65101931624,1431.80822216161,4060.02717899206,6814.53678689962,7753.2098290557,2101.72000594356,2726.78699608176,5387.10689512272,2093.29338434073,8776.99505650552,2997.43381772352,2199.66520554509,1315.18986678463,21839.8219625852,2391.51317010685,5475.64062271796,3600.69556885222,3216.65094200068,2190.33495429792,3621.39400640167,3394.23104438317,2381.65351818301,12599.83647604,5349.6678821856,3435.93173904838,1823.62949993719,3042.14200677511,3449.98691213286,2827.52061629726,10276.924240692,8994.19704143924,5509.73749116925,4606.47735073484,1517.23338581034,3690.66157546478,8370.95871528311,1122.45915571632,10197.6674827993,2079.89123409839,11866.5003690182,5217.62562077046,23793.2877572075,2803.56980345485,7166.85913819374,6425.36283650529
"27","S31",1,698.36209430553,2437.59185197571,3969.93176497528,1900.15298716841,3222.62046649376,6122.66273469856,1957.572413404,4313.21355322341,6242.49891354855,8581.51076077986,2532.1275533936,4075.54717319682,6387.62161378411,2278.396557172,10657.063876378,3554.2377968192,1842.5809274878,2101.12222002021,30955.5963141544,2628.08806569764,6389.28576817804,3441.94425909646,4781.95143604032,2683.38120969658,6439.19863430951,3128.10560256339,2138.39591917369,7375.41920067406,5325.18357577055,3062.50355011647,2600.63634359348,5109.963288046,4745.3931866857,2866.94909613851,36013.5480041813,6261.70791000042,3485.87379905923,6798.80372009762,2444.85555918201,4414.0198710609,23494.3105195456,1459.10256480381,11259.5573226317,3180.91017216645,13906.1334329008,5230.038291294,34530.104849057,3468.77310240807,9387.19255621291,7871.58723348904
"28","S32",1,755.299183535735,1973.41464076651,1587.49029439518,2303.74668619776,2243.15713101658,4090.69660229307,2918.43888518787,4723.99789693052,4434.10789822411,9123.12058386265,1786.44841790491,2497.43088678317,4840.25527309198,3997.97892547654,7875.82788728064,1663.15070725524,2310.89983677501,1418.01465407659,25675.4025089687,1903.04022117404,5042.79681073808,3216.86001644325,3185.22729065464,2194.61745518622,3011.23618524098,2634.95471986351,2151.75186910506,4737.41581345529,4239.71095820615,2573.62898077923,2330.36467823602,3167.69474975173,4031.20428488073,3251.31915955306,8215.62586217,11759.6375515714,4924.09366010498,4901.087189668,1567.59460780867,4403.66432834081,10543.3183707497,1039.19110411172,6767.59017145883,2638.62641819371,12144.2991910138,4621.44750173239,29934.4914503906,2300.03730965079,8239.19327444513,6326.22363572527
"29","S34",1,713.0748925148,2093.99947441101,1769.17779972768,1755.33899707014,3945.61267515324,5340.80178552321,2084.18426155398,5668.46384535517,5963.16530653979,9233.66411795771,1755.3740755823,3105.18890922789,5351.26126390081,2256.81845013126,7307.48408539572,2759.24652651504,2065.95989219347,1740.8835076667,31535.6671841264,1806.68429002075,5559.32545694582,2880.57661426981,3826.67799379912,2522.66662123854,3200.00908141751,2015.49975905323,2472.48877518743,6840.36594512906,3920.61446273056,4081.58018929011,1947.38860080647,3030.55261703264,3925.88312138491,2724.1821886495,9695.878544529,7252.96937333156,5581.19954120043,4698.89220425458,2135.68607190816,3871.08077250924,11079.2736438276,1797.00190322084,7007.27556234,4067.79034276466,16012.3284773729,5433.19123737788,41288.2503099495,2434.84577412677,7163.57409115565,6311.26812949521
"30","S35",1,765.52182431139,2118.91753850117,1558.7360825388,2217.62819882072,3735.49919117802,5349.19205355834,2316.54731607702,5262.69968540613,6045.34566975098,6157.25341573007,1676.98891471208,2688.88456367715,8229.31706773162,3735.08767900639,3520.70546599493,2218.12817236246,2238.66367051578,2101.48122495874,13240.554678823,950.260704519033,6305.88675271444,3377.9008831739,3313.38270095151,3091.78472796438,4430.30112714372,2129.12245737858,3103.05478826926,10499.4029616621,5347.23231355459,2828.77037207637,3096.96506361489,3565.44545432154,3876.08795930333,2481.54225638754,10922.2324258191,3335.22632365233,4104.40355240274,4311.39497341445,2393.27672222949,3933.62015594797,14032.9378917599,1157.08839913568,5369.27620653968,3748.89689040199,7092.2169557944,5713.76234182641,35598.4621274218,1893.79828145519,6222.01951447876,8360.58341709199
"31","S36",1,770.610853523147,2208.33051001354,1728.16255729315,1700.10626305063,2691.76954365516,5283.16219622272,2541.07428790079,4864.75576025622,6889.71861435937,7139.8267048391,2483.98967884832,2233.50767968724,6089.72505629922,2901.75337326672,10465.1885968919,3040.98724254947,2254.18130898195,1988.32178746565,30874.2562917571,1893.767540345,5278.25994567681,3848.29492074618,4226.38872441025,4340.63016217343,3404.33061215807,2636.43173267678,2957.24397141361,6540.89848645183,3943.16090050163,4263.96789335609,2086.50415930863,5184.24864861103,4870.39226919163,3726.89045085307,11248.9673822279,8046.73654557615,6191.14317957934,4968.33245993942,2211.9579166822,4441.19748724409,16478.689169241,1714.8102725241,9226.51507277984,4637.05983538198,14486.7596964146,5036.88180895368,34770.7922891396,3820.50956121106,10931.2990509859,9647.63039536607
"32","S37",1,651.117381612045,2437.25497671172,995.637837425263,1442.02035167273,2774.23627233047,3736.15305143096,2882.57553782299,4835.25336627471,3889.51016060502,8731.50534072057,1587.40980476666,2924.4842348296,4593.53604443614,2305.94938894575,5790.30929028529,2675.99851982739,2631.53615331792,1367.54443604326,14101.0114370434,1011.59168063379,6151.58333712393,3149.2754577536,3562.02256934638,3353.67598926383,2106.52949465769,1113.82164543379,2648.08596051904,8920.57611346705,2384.4245310532,3401.84147162496,2695.39380981616,2797.10752736709,5537.64210154137,2690.73522820847,6960.7359090483,3607.92600251876,7204.62314077218,5538.53356870257,1609.25061788988,3428.59279355394,8749.34399206648,1667.50843331759,8282.83054901942,3306.11168617942,5254.63369521044,4439.47328342323,32562.7537675658,3041.9713120562,8325.53315236074,10498.9083116886
"33","S38",1,721.088639544327,2073.66997674248,2028.18579854714,2134.4477811799,3435.62851027375,4470.02853679217,1844.79771244751,3676.00158265278,4398.27649331688,6395.07638038546,1826.21026227855,2348.47533034193,6290.97054259743,2559.2675918687,9224.32146237149,1562.26199994402,1658.69319322825,1203.84099943471,20209.2029464648,1400.10486216708,4966.40644008489,2781.13114688728,4376.92848902976,1784.50099639224,3804.73592253971,2265.71097124289,2631.94877130009,6311.60441710815,3096.02987173612,3326.94819118005,1938.51503797708,2945.4349034449,3143.31410822059,3529.68650087325,16706.3344116942,6738.87004700075,4678.01612151199,4261.61937805933,1746.67339293567,3102.3288019036,13699.7866539332,1011.58629703118,6866.44860776888,2488.21693757618,8588.7418818956,2490.33204588625,30364.9051191988,2102.19901714988,5539.10868113804,6615.72120857516
