"sample","S2","S3","S4","S5","S6","S7","S8","S10","S11","S12","S13","S14","S15","S16","S18","S19","S20","S21","S22","S23","S24","S26","S27","S28","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S40","S42","S43","S44","S45","S46","S47","S48","S50","S51","S52","S53","S54","S55","S56","S58","S59","S60","S61","S62","S63","S64","S66","S67","S68","S69","S70","S71","S72","S74","S75","S76","S77","S78","S79","S80","S82","S83","S84","S85","S86","S87","S88","S90","S91","S92","S93","S94","S95","S96","S98","S99","S100","S101","S102","S103","S104","S106","S107","S108","S109","S110","S111","S112","S114","S115","S116","S117","S118","S119","S120","S122","S123","S124","S125","S126","S127","S128","S130","S131","S132","S133","S134","S135","S136","S138","S139","S140","S141","S142","S143","S144","S146","S147","S148","S149","S150","S151","S152","S154","S155","S156","S157","S158","S159","S160","S162","S163","S164","S165","S166","S167","S168","S170","S171","S172","S173","S174","S175","S176","S178","S179","S180","S181","S182","S183","S184","S186","S187","S188","S189","S190","S191","S192","S194","S195","S196","S197","S198","S199","S200"
"M10"," 979.5507"," 990.9701"," 977.3184"," 956.0655"," 789.3578"," 881.0975"," 840.9643","1319.4586"," 853.1776"," 943.2481","1202.3514"," 846.8554","1201.2415","1187.2360"," 790.7226","1019.4678"," 948.6138","1003.2673","1073.2347"," 911.2185"," 933.7644","1309.9900","1188.7524","1265.6993","1128.4788","1032.7407","1143.0718","1215.2152","1252.5333"," 835.2226"," 968.5073","1184.4162"," 985.1937","1234.0913"," 904.3097","1009.5449","1251.3422","1153.4688","1116.1547"," 896.7775"," 679.7611"," 939.7156","1289.4409","1123.2850"," 926.7948"," 954.3008","1124.3004","1048.3121"," 950.4034","1016.7337","1211.6785","1574.3948"," 980.1547","1258.3861"," 863.5279"," 863.5778","1076.0223","1099.6639","1135.8192","1082.7530","1438.6019","1234.8306","1766.8120","1475.7691","1216.6475","1148.5838","1225.2622","1173.2363","1752.8685","1352.8899","1202.1073","1582.3169","1210.9684","1307.3280","1333.1947","1236.6618","1162.7479"," 987.2291","1104.5258","1031.5129","1287.9343"," 808.9822","1020.1155"," 928.2632","1157.6478"," 878.2132","1196.8438","1573.7784","1349.7056"," 744.2085","1272.8494","1264.3316","1171.6918","1159.5975","1153.6681","1097.7173","1126.4995"," 995.7210","1050.0266","1281.4303","1262.8580","1011.5643","1434.6168","1029.2771","1295.3243","1037.2349","1022.8590","1077.9630","1276.8998","1601.5946","1115.3046","1196.2495"," 961.9379","1225.8345","1417.1451"," 949.4649","1064.5876","1447.9826","1107.8665"," 723.9908","1008.6580"," 906.9377","1043.6761"," 933.3084","1020.1232","1122.1467","1451.0434","1635.6057"," 984.0269","1432.8079","1436.4367","1182.7871","1192.8699","1015.7834","1315.4535","1021.8575","1051.4056"," 747.7712","1022.1822","1313.3529"," 649.7343","1203.2514","1399.3680","1097.5255","1321.9064","1051.0019","1623.9741","1177.9913","1338.5531","1447.0032","1127.3965","1419.7732"," 914.9525","1172.9480"," 897.0445","1162.7039","1030.3937"," 992.3614","1508.6947","1604.4528"," 949.0854","1102.7616","1175.6091","1262.6794","1191.3405","1066.1282","1257.5461","1384.0984","1250.3295","1222.7144","1263.6128","1271.9034"," 899.1777","1205.4569"," 760.4341"
"M11","1163.9049","1386.0606","1215.9954"," 971.2090","1164.2995","1176.3855","1080.0404"," 933.7274","1218.2985"," 768.7695"," 957.2320"," 949.2820","1256.9077"," 831.9920","1005.1186"," 798.3945"," 603.5133"," 820.4936"," 993.6208"," 910.3292"," 850.5148","1262.0261"," 903.6952","1044.9178","1090.4145","1296.2551","1561.7130","1101.8085","1132.7678","1082.1847","1602.9538","1024.3781","1149.0514","1109.0313","1139.3673","1021.2024","1426.8910"," 838.2244"," 976.1113","1553.8738","1013.9938","1259.0194"," 963.8007"," 998.5517"," 846.8707","1154.4385","1168.5852","1059.1434"," 712.9138"," 860.8958","1359.0506","1019.5869","1566.0187"," 993.7139","1119.9716"," 607.0668","1222.4067"," 727.9949","1122.4754"," 867.4282","1975.4683","1063.2544","1410.7474","1059.3923","1601.8471","1259.1546","1488.8395","1331.5191","2042.3172","1006.4556","1635.6142","1018.9277","1513.4424","1158.4460","1162.5388"," 832.3640","1606.6291","1052.5403","1044.7645"," 877.7597","1075.5272"," 744.6227","1040.7736"," 884.7087","1183.6106"," 922.4998","1087.5960"," 886.8447"," 848.2296"," 749.1736"," 949.5191","1102.3816"," 691.2855","1195.8098"," 648.0731"," 831.8928"," 939.2665"," 921.8238"," 946.6992"," 768.8212","1061.6400"," 914.0071"," 787.9351","1089.9843","1419.4938"," 793.4436"," 752.9047"," 791.8865"," 838.6646"," 938.0583"," 646.6577"," 830.9041"," 929.3549"," 789.0752","1038.2329","1017.7194","1060.8575"," 923.1052"," 904.9708"," 808.2523","1139.7129"," 779.7954","1054.9095","1203.1400"," 873.5082","1375.7639","1107.4660"," 969.3031"," 704.9938","1286.9168"," 976.4238","1510.9055","1018.3007"," 855.2925"," 968.0557","1333.5547","1382.5167"," 776.2142"," 730.5727"," 975.8140"," 740.8246","1387.6311"," 988.2264","1096.7194","1235.6157","1288.4875","1323.2894"," 987.9045","1175.3871","1063.8177"," 603.1412","1374.6447","1527.9280","1056.1840","1163.8441"," 818.4252","1214.6418","1187.3944"," 927.2104","1159.1746","1458.8375","1509.6986","1155.9321","1363.9174","1365.6203","1925.5556","1214.2747","1001.5976","1307.7960","1474.5927","1117.5658","1573.5330"," 941.6056","1039.0558","1097.6520"
"M12","1347.8291","1730.5326"," 923.5043","1213.5146"," 605.4644","1642.5049","1153.3127"," 961.3661","1031.4408","1160.6138","1061.5402"," 827.5293"," 821.7267","1421.0270","1153.3507","1138.1933"," 956.8796"," 941.7538"," 956.3961","1352.1135"," 815.0929"," 877.2810"," 695.3884","1078.8977","1031.6287"," 860.9560","1286.8137"," 788.5391"," 984.5754"," 852.5760"," 708.1878"," 927.2786"," 754.0983"," 782.6100"," 923.0706"," 891.4251"," 880.7909","1086.1413"," 805.9649","1111.7877"," 767.8839","1030.0193","1120.8029"," 834.3783"," 787.0816","1059.9578"," 896.7606","1233.1632"," 858.0666","1231.5538","1434.2802"," 995.9692","1129.7386","1178.9403","1146.4461","1013.7644","1078.8984","1483.4188","1114.7834","1382.6137"," 940.7412","1201.4478","1283.4816","1786.5843","1178.8834","1295.0750"," 837.1778","1193.2347","1701.9645","1172.0373","1373.7547","1421.4789","1143.3545","1311.9670","1243.0266"," 971.7155","1322.0224","1095.5070","1070.9345"," 776.7710","1130.0498"," 979.4110","1007.3394","1299.2534","1009.7565"," 808.9449"," 961.8524","1244.6282","1276.1462"," 997.2062"," 754.2208"," 729.8326"," 777.5678"," 952.8102"," 721.1023","1115.4154","1066.1993","1228.8916","1044.1192","1047.9333","1417.5092","1062.0378","1368.0749","1055.7379"," 963.4578"," 993.7292"," 997.1632","1472.9466"," 987.9811","1160.3982"," 760.1052","1118.2142"," 788.1507","1189.4093","1515.4761","1212.7418"," 729.6890"," 932.3986","1138.0750"," 816.1577","1454.0599"," 998.7009"," 748.0010"," 685.1944"," 751.1492","1014.1122"," 782.1255"," 769.0920"," 756.6813"," 904.8527"," 947.6364"," 678.8432"," 878.3181","1076.9009","1316.0813","1057.3697","1025.4590"," 715.8529"," 865.2370","1088.9968"," 720.8124","1178.4595","1340.5096","1033.0428","1595.5893","1060.2705"," 764.4139"," 868.1724","1093.3437","1226.0287"," 750.1707","1519.8345"," 759.6477","1248.1727","1090.4519"," 863.0458"," 925.2538","1036.5831","1111.5086"," 733.6066"," 886.9208"," 957.3737","1099.8859"," 935.1286","1010.0297","1074.2871","1466.6909","1031.6571"," 842.9121","1176.8276","1128.8885","1017.4121"," 946.2190"," 835.4802"," 937.7900"
"M13","1070.5691","1079.1342"," 723.2640","1340.6212"," 793.9567"," 895.3168","1112.8091"," 987.7048","1216.4495"," 949.4467"," 980.4790","1155.8448","1397.3270","1257.4604"," 896.6281","1107.6813","1068.4124"," 893.3995"," 950.7365","1193.8290"," 722.4192"," 953.7422"," 785.8028"," 921.7340","1281.7291","1003.5695","1189.9564"," 901.6960","1025.1006","1576.4279","1166.5625"," 879.9489","1215.8071","1071.5029","1197.2681","1148.4742","1128.1506"," 895.3531","1006.0814","1382.3435"," 779.1473"," 888.5181"," 842.6523"," 958.1190"," 927.7321"," 642.0665"," 664.8656"," 830.4100"," 520.7078"," 736.5216"," 771.7534","1025.4445","1050.4585"," 996.6734"," 919.4962"," 805.9361"," 922.8750"," 882.9432"," 886.7447"," 815.8918"," 881.7044"," 775.8869","1148.2605","1045.0181","1123.1905","1237.9098"," 871.5260","1181.3941"," 902.3817"," 959.4262","1123.9831","1221.0522"," 944.3179","1100.1005","1313.7459","1013.0295","1420.2809","1115.7398"," 885.8519","1100.2224","1237.9977"," 791.8254"," 800.6388","1057.0048","1202.1562"," 816.9332"," 897.4711","1340.3334","1363.8324"," 658.4252","1000.5522","1452.0675","1004.7073","1148.7512"," 896.7019","1285.0729","1384.9592","1643.3891","1265.1007","1168.3669","1363.5941","1366.7665","1011.1459","1064.9802","1665.1143"," 781.9426","1492.4163","1132.7548","1109.6148","1443.1846","1366.0555","1305.3032","1230.8309","1372.9034","1210.7035","1071.9791","1078.0787","1171.0372","1197.8935","1074.7711","1130.1632","1030.0683"," 799.1134","1157.4180","1171.8149","1471.4284","1097.0922","1149.4137"," 969.3756","1460.3189","2071.8348"," 690.2439"," 943.4784"," 984.9123"," 640.7396"," 761.0235","1174.0991"," 801.2404"," 606.7814","1206.8105"," 622.7221"," 950.6553"," 762.2879"," 901.5357","1036.5812","1049.9303"," 966.5636"," 647.2078"," 891.4803","1096.0268"," 811.7312","1259.9756","1155.1262"," 943.8530","1390.2317"," 929.7590","1301.0426","1327.6654","1278.9957","1235.0199","1192.4485","1202.4551","1108.3744","1876.5473","1298.6776","1175.1781","1456.0662","1146.3229","1403.4705"," 806.5277","1026.5414","1277.8921"," 991.3597","1059.9583"," 679.6759"
"M14","1098.4360"," 633.4852"," 894.5700","1535.4186"," 836.0453"," 751.5775","1234.6236"," 747.9166"," 646.4855"," 849.0817","1125.7252","1292.1834"," 845.1652"," 851.5464"," 620.2975"," 952.2743"," 999.9164"," 712.4167"," 831.7861","1207.6694","1069.2110","1247.2645","1231.6282","1174.5806","1377.2612"," 897.8292"," 977.2213","1714.7630"," 966.1345","1598.9753","1242.2284"," 987.1672","1095.7467","1080.4624","1340.4076"," 991.0381"," 933.6351"," 917.8629"," 667.4372","1048.6418"," 561.1593","1232.7627","1012.4872","1430.0780","1438.8745","1585.6035","1076.0601","1009.7762"," 452.4974","1422.4403","1116.2433","1081.3249","1142.6508","1045.7214","1132.2848","1070.6065","1026.0182"," 934.3396","1210.2860","1193.3045","1384.7600","1395.7145","1163.1540","1445.8236","1355.3786","1085.0830"," 958.6370"," 879.0721","1223.3050","1113.1636","1100.7376","1164.3680","1009.8874"," 942.0154","1009.1325","1343.6236","1544.2938","1175.4791"," 869.5389","1014.2301","1605.9627"," 987.5623"," 679.1938"," 763.0467","1102.5707"," 570.7197"," 518.1186","2010.4536","1185.9354"," 940.3548","1026.5014"," 702.6560","1215.6635"," 735.4290","1107.1797"," 860.7119","1107.2505"," 899.4922"," 906.1093"," 872.1985","1039.2240","1100.3191"," 969.9902"," 769.0439","1308.1467"," 818.6209"," 861.5607"," 883.0125","1094.7637"," 998.9312"," 753.8161"," 971.9349","1141.1912","1376.8192"," 895.9908"," 858.9859","1000.6801","1705.8499","1031.4495","1274.9977","1307.1012"," 966.0599"," 913.0812"," 873.1524","1009.8287"," 925.6418","1329.1589"," 935.6397","1160.4236","1178.8997","1537.2652"," 607.1986"," 696.0553"," 696.8695","1011.9157","1147.5784"," 786.1378"," 881.7828"," 702.9382","1084.6414"," 755.5809","1040.1829"," 862.7029"," 865.0670","1077.4522"," 823.4542","1037.7748"," 973.3911"," 762.4429"," 905.7332","1180.6908"," 762.1885","1097.0247"," 831.7906"," 967.7025"," 966.1183"," 761.1113","1244.1930","1063.0363","1076.4720"," 958.5219","1149.6693","1065.1550","1068.2351","1411.4951","1000.5371","1096.9732"," 946.1629","1078.3290"," 944.1008","1050.7318","1527.3909","1013.3866","1007.4554"," 798.9768"
"M15"," 589.5928"," 680.1312"," 492.5213","1576.6687","2013.3978","1565.9384","1338.3192"," 602.2621"," 561.4740","2104.1565","1828.9188","1985.4957"," 802.9046"," 523.3344"," 414.2739","1098.4311"," 732.1633","1086.9107"," 641.6615"," 468.5033","1124.8311"," 945.7610","1458.5398","1450.3106","1383.8446","1307.0885","1587.0723","1172.8848","1098.1823"," 529.0982","1572.7280"," 870.1784","1419.0795"," 738.7332","1874.5269"," 565.4701"," 761.1727"," 776.6357"," 575.9369","1904.2379"," 694.6795"," 569.0466"," 779.2336"," 736.4231","1089.6917"," 709.0155","1236.4503","1359.5707","1319.3126","1971.1626"," 741.0439"," 804.3978","1983.4116","1973.9934"," 692.7561"," 688.4973","1184.6627"," 688.4624","1590.3242"," 965.5927","1541.0718"," 958.0673","2200.8451","1592.8334"," 712.3336"," 848.0472","1016.8673","1950.8669"," 850.2341","1821.2034"," 783.1147"," 913.7889"," 611.4083","2544.7776","1881.1865","1859.2736","1555.9922","1475.5510"," 727.9926"," 574.3463","1449.9229","1740.1221"," 564.0903","2197.7242","1199.3177"," 513.1517"," 702.4490"," 766.9957"," 865.9805"," 598.1326","1291.4116"," 972.5317"," 579.6927"," 868.2453"," 708.3792"," 771.9554","1265.5284"," 534.9329"," 619.2516","1057.0919","1372.4053","1020.3197"," 519.2306"," 732.3628","1485.8756","1691.5728"," 522.5851","1526.5453","1227.7827"," 581.9069","1435.3208","2011.3193"," 667.2168","1556.4134"," 758.1266"," 978.7459"," 786.7804","1042.4954","1838.8781","1470.1508","2118.0637","1451.9297","1611.1867"," 712.2689"," 964.6394","1348.0831"," 967.6795"," 622.2313"," 491.9379","1024.8616"," 639.4599"," 692.8391","1452.1640","1445.5776"," 810.6608"," 723.0910","1995.7302","1621.1015","1188.0775"," 903.2064","1276.4525","2028.6211"," 617.2797"," 665.7082"," 590.2094","1706.1756","1793.7950"," 769.1241","2086.7510"," 681.6263","1537.4858","1026.0818","1185.2871","1781.2259"," 646.5406","1027.7836","1595.2678","1501.7173","2221.9104"," 788.7585","2118.7190"," 692.0830"," 934.9948","1067.8885","2119.2596"," 765.8300","1576.4775","1450.2590","1674.0744"," 882.9871"," 588.3127","2034.3822"," 665.4112"," 743.6447"," 426.1697"
"M16","1098.7216","1097.5690"," 972.0111","1188.6424"," 713.3695"," 853.7407","1013.2531","1266.8533","1035.2411"," 992.9888"," 899.2708"," 803.6304","1085.3382"," 794.9443"," 660.8193"," 744.4173"," 745.3559"," 752.7698"," 863.3299","1121.2050"," 843.8314"," 751.0098","1035.7258"," 771.2402","1037.5426"," 988.4636","1172.0808"," 548.4571"," 913.2046"," 734.1152","1006.4499"," 885.6527"," 570.4114"," 993.4085"," 689.0214","1176.0764","1217.5709"," 583.3421"," 866.4082"," 664.5281"," 788.8464"," 907.0584"," 816.4174","1296.4042","1299.9309","1692.9622","1460.3834","1032.5161","1427.4411","1494.2550","1454.4166","1456.2110","1495.1656","1354.9001","1034.6131","1566.8819","1330.5994","1289.9807","1306.2887","1257.2594","1136.6489","1005.1282","1159.0187","1035.1672","1066.7075"," 906.9246","1107.3632","1432.5378","1164.1768","1114.6902","1372.2294","1563.0064","1143.8150","1302.3421","1016.7823","1303.5804","1479.0534"," 858.4052","1009.4577","1127.7459","1046.8240"," 687.9500"," 846.9128","1109.6975"," 892.5054"," 959.3383","1068.4610"," 990.7665"," 825.9533","1358.0178"," 937.7978"," 722.8843","1161.4514","1178.9438","1449.3794"," 953.7723"," 965.2161","1361.1282"," 950.2500","1114.0736","1401.6862","1008.0117","1142.8563"," 982.0227","1246.7470"," 798.2000"," 962.4165"," 990.2943","1304.0383"," 839.8378"," 870.4281","1068.0522","1115.3099","1291.3192","1182.3795","1264.6285"," 879.2448"," 840.0240","1153.3988"," 859.0314"," 945.7923"," 971.5424"," 881.4758"," 958.2703"," 747.0810"," 838.8701","1040.7581","1156.0733"," 751.0514","1086.7691","1284.9745"," 728.1792"," 733.0451"," 838.8544","1035.6535"," 920.7024","1028.8350"," 777.8294"," 910.4909","1108.5067"," 825.3937","1416.2428"," 927.6882","1105.6576","1481.4761","1122.3610","1248.3676","1152.5782"," 928.8155","1960.7947","1196.2182","1193.3511","1534.2830","1340.1465","1416.5908","1071.2306"," 737.5290"," 842.0492","1208.8595"," 906.8855","1009.7782","1494.5535","1603.5840","1142.4227","1006.5771","1215.4087","1311.8704","1038.2443","1136.0888","1113.5348","1241.3259","1607.7046","1070.0904","1113.3957"," 979.7034"
"M17","1019.6716","1043.1887"," 945.7624","1414.2933","1029.6095"," 972.7287","1057.1745"," 803.8126"," 946.2284","1324.0570","1245.3755"," 993.5994","1017.4679","1071.4437"," 626.6555"," 692.7264"," 790.8007"," 794.1926"," 643.3784"," 756.2850"," 835.2742","1001.5585"," 972.6282","1030.4953","1150.4969","1205.5530","1009.8486","1266.5164","1151.3699","1247.6186","1256.2667","1466.5685"," 923.8920","1225.6946","1058.9366"," 839.8059","1134.0254"," 936.7609"," 736.5829"," 890.7062"," 799.6166","1230.7185","1241.2521","1176.8695","1179.0519","1066.5491"," 951.8938","1331.8974"," 965.0635","1380.9656","1608.5812","1127.8499","1535.2390","1110.5567","1337.3287","1025.8076","1442.6064","1050.8365","1049.8079"," 831.8843","1149.1965","1443.4038","1750.7814","1878.8896","1691.9904","2446.3890","1782.9149","1090.5057","1571.6238","1317.5154","1441.6266","1416.2256","1087.1279","1292.8796","1053.0021"," 756.2371","1069.6102"," 895.0907","1079.0259"," 906.7225"," 902.8186"," 742.8223","1300.7460","1178.6384","1076.8315"," 794.6365"," 901.1285","1624.1510","1200.9503","1037.4168"," 838.8684","1031.9860","1022.2440"," 896.6918","1424.6573"," 976.7485","1084.8866"," 740.1067","1730.9513"," 842.1888","1120.1359","1136.3957"," 920.1833"," 772.9269"," 947.0808"," 992.3232"," 652.4977"," 749.7257"," 863.9958","1116.6242","1004.5339","1003.6191","1083.7005","1091.9837"," 897.5713"," 744.0105","1346.3058"," 926.8518"," 702.5211"," 958.7925","1542.2172","1398.1515","1055.9907","1021.9738","1127.4928"," 773.4881"," 947.4889"," 876.4923","1028.2878","1379.6132"," 787.0110"," 712.3348"," 764.6859","1003.8068"," 875.1249"," 668.5431"," 919.1339","1153.2431"," 719.9385"," 719.1569","1213.0789"," 965.4924","1210.7874","1238.3645","1405.6463","1072.0623"," 886.8390"," 826.6748"," 942.0640","1226.2014"," 925.2478","1661.3954","1454.8350","1070.8194","1592.9561"," 988.2351","1383.5724","1142.0843","1453.4126","1103.4994","1362.3798","1626.8956","1324.3299","1619.3461","1088.0655","1295.3703","1235.8926","1360.0757","1080.1659"," 928.9535","1197.8317","1448.8074","1292.8362"," 962.4370","1269.3373"
"M18","1134.0070","1046.8355","1072.7324","1055.8628"," 864.5293"," 975.7783","1415.1111"," 940.1406"," 879.4587"," 797.4404"," 939.5934"," 994.8618","1325.7533","1097.4608"," 811.9116","1129.5179","1403.1235","1302.3042"," 863.2569"," 985.1393","1103.3529","1160.0024"," 979.2245"," 734.9904"," 963.3017"," 907.4278","1449.6893"," 978.3727","1215.6066","1467.4012","1388.3853"," 954.9152"," 836.7063"," 975.6715"," 978.0026","1198.7283","1042.8774"," 996.4673"," 803.6449"," 919.7863"," 513.6158"," 699.1219"," 462.8415","2245.0764","1947.1325","2111.4396","1540.5254","1145.7376"," 876.7593"," 918.8395","1304.9289","1151.0136","1161.0630","1276.4611","1057.9327","1088.2593"," 972.9382","1552.3027","1367.3939","1487.6712","1454.2155","1328.7133","1286.2191","1359.6848","1369.6976"," 873.1423","1049.9972","1034.2796","1303.3919"," 886.5938","1299.5683","1265.5720","1316.7145","1249.2628"," 979.0165","1237.2997","1520.3680"," 973.4853","1163.8377"," 920.3562","1264.5387"," 817.8280"," 644.9276","1367.5912"," 852.6444"," 843.5307","1303.0010"," 514.6399"," 696.2369"," 870.1899"," 751.2687","1017.6547","1123.9306"," 884.8780","1079.2368"," 838.7895"," 850.7718","1134.1071"," 957.7781","1010.1330"," 579.0741"," 878.4099","1349.1365","1063.1440","1499.8811","1112.5188","1136.2021","1051.3675"," 808.1675","1035.3642"," 905.9801","1471.3352","1335.5883","1201.7115","1162.2278"," 954.1487","1166.7182","1150.0572"," 937.7597","1138.4862","1107.6165","1494.2664"," 914.7046","1367.7564"," 642.2728","1007.2684","1015.1007","1282.3473"," 776.1032","1088.5402","1010.1395"," 675.5995"," 883.9306"," 836.9061"," 914.5035","1122.3010","1303.9565"," 881.7311","1008.9568","1052.6779","1273.1662","1444.7991","1427.6233","1102.6659","1670.0759","1178.6460","1675.9462"," 940.8060","1335.8491","1585.6667"," 942.1052","1312.0752","1196.2908"," 892.4756","1339.2428"," 826.5204"," 845.3641","1244.9429","1453.0197","1003.7678","1202.2507","1092.8906","1216.1444","1005.2390"," 904.2340"," 951.6320","1024.5461"," 806.6409","1383.9859","1178.9343","1045.5469","1715.8689","1065.0020"," 891.8830","1060.6037"
"M19"," 629.41772"," 905.48926"," 528.02406","1809.13861"," 994.29038","1823.55631","1467.90517"," 814.48837"," 494.79301"," 916.14069","1311.02505","1808.78077"," 649.40755"," 828.87559"," 523.54693"," 695.47791"," 679.64458","1116.31585"," 559.44094"," 548.45577","1008.91862"," 992.43828","1759.95398","1123.65752","1716.02047","1264.43139","1792.19537","1486.49495","1875.39273"," 787.40176","1836.05932"," 838.57221","1207.92407"," 798.47155","1254.77448"," 648.50613"," 641.09938"," 714.78849"," 469.45118","1556.17422"," 600.89549"," 506.43698"," 624.11035"," 307.33621"," 644.13421"," 326.15685"," 842.08938"," 758.69859"," 718.41933","1141.94984"," 709.53099"," 693.27308","1386.38727","1753.64443"," 703.34499"," 663.16957","1114.70663"," 768.20196","1613.36580"," 712.19228","2128.80527"," 680.64288","1669.73577","1797.40732","1332.55794"," 864.76027"," 934.83087","1355.64600"," 990.27446","2269.02494"," 779.06988"," 877.73415"," 727.27047","1671.31728","1393.76936","1652.57307","2111.97222","1673.52445"," 690.49507"," 531.39382","1227.54937","1229.42482"," 478.51305","1731.73455","1414.38534"," 656.32726"," 920.03072"," 499.88263"," 386.20642"," 381.41519"," 665.41484","1128.04528"," 546.44511"," 656.39715"," 672.26742"," 641.06976","1036.72499"," 594.30486"," 653.46730"," 871.18119","1447.83337","1004.90416"," 713.40729"," 528.41204","1570.75815","1442.86906"," 436.14461","1311.79902","1389.95792"," 954.07762","1474.70889","1589.24156"," 467.14634","1308.06451"," 489.03744","1311.63070"," 669.16413"," 580.41789","1328.75717","1367.97564","1791.73978","1293.23898","1439.92249"," 582.11654","1188.28324","1422.78125","1292.88309"," 711.76056"," 800.76841","1217.28390","3961.81694"," 275.66756"," 555.86542"," 913.96799"," 598.54770"," 391.75271","1343.26885","1389.90907","1406.80408"," 643.37332","1064.82771","1286.69572"," 856.59356"," 785.16971"," 631.05427","1611.34715","1663.80627"," 566.13767","1363.08329"," 590.78920","1140.25599","1121.42800","1095.96845","1547.60367"," 735.35480"," 523.46799","1097.13026"," 975.40000","1441.62319"," 573.54365","1319.49828"," 547.11513"," 393.70617"," 484.25394","1079.95949"," 346.75828"," 475.97028"," 538.46494"," 250.28595"," 108.00918"," 164.92921"," 362.65422","  65.26004","  42.19804","  33.94170"
"M20"," 640.2979"," 810.2494"," 677.1374","1931.6875","1568.6126","1268.7552","1558.6457"," 584.1699"," 632.4388","1851.7777","1836.7541","1793.0449"," 601.4904"," 822.4114"," 739.3868"," 827.4963"," 733.3974","1393.8427"," 650.0531"," 760.7091","2231.6206","1953.4867","1809.3094","1654.4934","1694.1603","2082.5569","2288.5691","1657.1891","1570.7700"," 826.1770","1646.4820"," 879.4994","1230.6755"," 607.5982","2206.8073"," 569.4877"," 681.7894"," 538.0673"," 642.3841","1378.7939"," 487.6172"," 552.9102"," 497.0547","1036.9031","2631.0499","1060.3976","1752.2818","1432.0092","1342.9045","1579.2317"," 774.8052"," 584.5012","2185.2774","1555.6033"," 585.6738"," 597.6061"," 656.4672"," 944.7454","1282.3297","1039.6810","2006.1492"," 931.8781","1715.9483","2217.1737"," 916.5227"," 854.5457","1009.3395","2129.6808"," 988.6755","1834.6072"," 850.3527"," 887.3613"," 647.3041","1345.6075","1678.8113","1763.4448","1856.0322","1276.1811"," 584.9530"," 580.6605","1155.9662","1086.4178"," 641.1985","1655.5728","1003.2722"," 526.6458"," 414.5878"," 951.1455"," 638.8074"," 559.4098","1357.2345","1332.3353"," 557.1675"," 667.3513"," 571.0477"," 531.6451","1213.4677"," 376.7247"," 598.5992"," 585.5676","2048.2259"," 612.1890"," 646.4680"," 585.4959","1618.0063","1518.1536"," 651.4034","2315.5412","1699.8643"," 551.6757","1052.6474","1586.2192"," 743.1746","1461.8134"," 935.0503","1095.2521"," 554.7669"," 533.0597","1019.5946","1428.3359","1630.4693","1656.9463","1376.3599"," 443.8917","1371.6076","1360.0958"," 721.6220"," 339.3471"," 507.0943","1112.1262"," 615.8443"," 976.5305","2738.3152","1297.4198"," 762.2897"," 817.2787","1738.3830","1261.7031","1487.1429"," 508.1782","1858.1729","2061.0025"," 538.8945"," 776.6230","1045.5579","2148.1033","1393.7439"," 758.5585","1850.3029"," 828.6966","1521.1625"," 845.1828","1553.5782","1318.5596"," 674.4230"," 803.0476","1446.9385","1586.3153","1407.9268"," 743.9362","1338.8590","1005.0323"," 914.7737"," 820.7524","2371.0472"," 745.4954","1332.3007","1355.1809","1699.5533"," 834.4193"," 534.1108","2108.5786","1074.2807","1161.9454","1317.3067"
